2017-02-17 13:56:40,322 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-object (59) [org.apache.cxf.binding.object.ObjectBindingFactory]
2017-02-17 13:56:40,325 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/binding/object
2017-02-17 13:56:40,327 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-bindings-object
2017-02-17 13:56:40,327 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-bindings-object
2017-02-17 13:56:40,332 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-soap (60) [org.apache.cxf.binding.soap.SoapBindingFactory, org.apache.cxf.binding.soap.SoapTransportFactory]
2017-02-17 13:56:40,335 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/bindings/soap
2017-02-17 13:56:40,336 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-bindings-soap
2017-02-17 13:56:40,336 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-bindings-soap
2017-02-17 13:56:40,341 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-xml (61) [org.apache.cxf.binding.xml.XMLBindingFactory, org.apache.cxf.binding.xml.wsdl11.XMLWSDLExtensionLoader]
2017-02-17 13:56:40,343 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-bindings-xml
2017-02-17 13:56:40,343 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-bindings-xml
2017-02-17 13:56:40,348 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-databinding-aegis
2017-02-17 13:56:40,348 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-databinding-aegis
2017-02-17 13:56:40,352 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-databinding-jaxb
2017-02-17 13:56:40,353 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-databinding-jaxb
2017-02-17 13:56:40,360 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-databinding-xmlbeans
2017-02-17 13:56:40,361 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-databinding-xmlbeans
2017-02-17 13:56:40,383 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/clustering
2017-02-17 13:56:40,384 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-features-clustering
2017-02-17 13:56:40,384 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-features-clustering
2017-02-17 13:56:40,413 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-features-logging
2017-02-17 13:56:40,413 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-features-logging
2017-02-17 13:56:40,418 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-features-metrics (67) [org.apache.cxf.metrics.MetricsProvider]
2017-02-17 13:56:40,420 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-features-metrics
2017-02-17 13:56:40,420 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-features-metrics
2017-02-17 13:56:40,421 | INFO  | atures.logging]) | Activator                        | 66 - org.apache.cxf.cxf-rt-features-logging - 3.1.5 | CXF message logging feature disabled
2017-02-17 13:56:40,443 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-features-throttling
2017-02-17 13:56:40,443 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-features-throttling
2017-02-17 13:56:40,473 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-http (81) [org.apache.cxf.transport.http.HTTPTransportFactory, org.apache.cxf.transport.http.HTTPWSDLExtensionLoader, org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder, org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder, org.apache.cxf.transport.http.policy.NoOpPolicyInterceptorProvider]
2017-02-17 13:56:40,474 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-policy (88) [org.apache.cxf.ws.policy.PolicyEngine, org.apache.cxf.policy.PolicyDataEngine, org.apache.cxf.ws.policy.AssertionBuilderRegistry, org.apache.cxf.ws.policy.PolicyInterceptorProviderRegistry, org.apache.cxf.ws.policy.PolicyBuilder, org.apache.cxf.ws.policy.PolicyAnnotationListener, org.apache.cxf.ws.policy.attachment.ServiceModelPolicyProvider, org.apache.cxf.ws.policy.attachment.external.DomainExpressionBuilderRegistry, org.apache.cxf.ws.policy.attachment.external.EndpointReferenceDomainExpressionBuilder, org.apache.cxf.ws.policy.attachment.external.URIDomainExpressionBuilder, org.apache.cxf.ws.policy.attachment.wsdl11.Wsdl11AttachmentPolicyProvider, org.apache.cxf.ws.policy.mtom.MTOMAssertionBuilder, org.apache.cxf.ws.policy.mtom.MTOMPolicyInterceptorProvider]
